video_id,time,author,text
ISw__a8Xqv8,1 miesiąc temu,@raronpl2099,"Nie wiem czy mam się śmiać czy płakać, ale to jest farsa"
WuLUnOLbiNw,9 dni temu,@ornowskamalgorzata9574, @MartaMarta-fs2mz  Lista nr 9
kNOy3z2kl68,1 miesiąc temu,@elzbietaskowronska-kaczmar3431,Myslalam ze to byly plotki.o zamordyzmie na uczelni..a jednak to prawda i ma Pan Bartoszewski  u mnie za to minus
PC2lqAnXzvA,1 miesiąc temu,@maks4853,"UE ma nadwyżkę HANDLOWĄ z USA, a USA ma nadwyżkę USŁUGOWĄ, i tyle wystarczy."
KiTg4fAf_zQ,1 miesiąc temu,@annapoprawa7341,Jak to za czyje ? Za nasze
bvlzQvdgqLU,2 dni temu,@b0l0666,"Jako nie-polka nie powinnaś mieć prawa głosu w wyborach, w Polsce, NIGDY!"
ISw__a8Xqv8,1 miesiąc temu,@Werka-Ja,​ @MortimerKadaver inteligent
BPCqlDZinOg,1 dzień temu (edytowany),@jolantadzierwa5828,Stanowski pokazał TV gdzie ich miejsce . Mój wybór to pan Braun i tylko on może uratować Polskę.
ssbRjaEMaYs,4 dni temu,@kozamorena7149,Grzegorz Braun Prezydent ❤❤❤❤❤
RNJegyGxwFA,2 tygodnie temu,@Sylwester-f4b,Panie Krzysztofie niech debata odbędzie się w kanale Zero
uoNr-izIr0o,2 tygodnie temu,@MirDobrzanski,@ Serio? … kiedyś się ockniesz. 😎
cbKiPt0w7uY,1 miesiąc temu,@JaroslawWolski-te9kl,Trzaskowski jedzie telekomunikacja miejska tyle lat go uczę a to jak krew w piach komunikacja miejska a ten baran telekomunikacja 😂😂
7ML9uNOVyfA,1 miesiąc temu,@Przemek-ds7pu, @DawidDuisburgDe  kogo?🤣🤣🤣🤣chyba Ciebie
BPCqlDZinOg,1 dzień temu,@Czyscioch1312,"Tam wszyscy kłamią albo mówią półprawdę tak to wygląda chcesz prawdy głosuj na Brauna tylko prawda boli, ja ją znam ale przeciętny Polak jak się dowie o co kaman to zwariuje albo się zbuntuje przeciwko właścicielom Polski dlatego wszyscy na Brauna wjeżdżają 😂"
cbKiPt0w7uY,1 miesiąc temu,@Gulek1968,Trzaskowski kłamał kłamie i będzie kłamał 😲🌈
uoNr-izIr0o,2 tygodnie temu,@gorolcija,@ Tu nie chodzi o przekrecenie tylko ze  usta mowia ...a dusza spiewa....ruch ust z wypowiedzia poprosze porownac ..dla minie to dziwne
